;TR;FATOR;Vencimento dia 25;Moedas;Convers�o;IGPM;TR;INPC;IPCA-E;SELIC;;;;;;;;;;;;;;;
01/07/1993;0,0000%;0,00000;;Cr$;1,00;;30,37%;;;;;;;;;;;;;;;;;;
01/08/1993;0,0000%;0,00000;;CR$;1000,00;;33,34%;;;;;;;;;;;;;;;;;;
01/09/1993;0,0000%;0,00051;;CR$;1,00;;34,62%;;;;;;;;;;;;;;;;;;
01/10/1993;0,0000%;0,00051;;CR$;1,00;;36,53%;;;;;;;;;;;;;;;;;;
01/11/1993;0,0000%;0,00051;;CR$;1,00;;36,16%;;;;;;;;;;;;;;;;;;
01/12/1993;0,0000%;0,00051;;CR$;1,00;;36,80%;;;;;;;;;;;;;;;;;;
01/01/1994;0,0000%;0,00051;;CR$;1,00;;41,44%;;;;;;;;;;;;;;;;;;
01/02/1994;0,0000%;0,00051;;CR$;1,00;;39,86%;;;;;;;;;;;;;;;;;;
01/03/1994;0,0000%;0,00051;;CR$;1,00;;41,85%;;;;;;;;;;;;;;;;;;
01/04/1994;0,0000%;0,00051;;CR$;1,00;;45,97%;;;;;;;;;;;;;;;;;;
01/05/1994;0,0000%;0,00051;;CR$;1,00;;46,44%;;;;;;;;;;;;;;;;;;
01/06/1994;0,0000%;0,00051;;CR$;1,00;;46,88%;;;;;;;;;;;;;;;;;;
01/07/1994;0,0000%;0,00051;;R$;2750,00;;5,03%;;;;;;;;;;;;;;;;;;
01/08/1994;0,0000%;1,39728;;R$;1,00;;2,13%;;;;;;;;;;;;;;;;;;
01/09/1994;0,0000%;1,39728;;R$;1,00;;2,44%;;;;;;;;;;;;;;;;;;
01/10/1994;0,0000%;1,39728;;R$;1,00;;2,56%;;;;;;;;;;;;;;;;;;
01/11/1994;0,0000%;1,39728;;R$;1,00;;2,92%;;;;;;;;;;;;;;;;;;
01/12/1994;0,0000%;1,39728;;R$;1,00;;2,87%;;;;;;;;;;;;;;;;;;
01/01/1995;0,0000%;1,39728;;R$;1,00;;2,10%;;;;;;;;;;;;;;;;;;
01/02/1995;0,0000%;1,39728;;R$;1,00;;1,85%;;;3,63%;;;;;;;;;;;;;;;
01/03/1995;0,0000%;1,39728;;R$;1,00;;2,30%;;;2,60%;;;;;;;;;;;;;;;
01/04/1995;0,0000%;1,39728;;R$;1,00;;3,47%;;;4,26%;;;;;;;;;;;;;;;
01/05/1995;0,0000%;1,39728;;R$;1,00;;3,25%;;;4,25%;;;;;;;;;;;;;;;
01/06/1995;0,0000%;1,39728;;R$;1,00;;2,89%;;;4,04%;;;;;;;;;;;;;;;
01/07/1995;0,0000%;1,39728;;R$;1,00;;2,99%;;;4,02%;;;;;;;;;;;;;;;
01/08/1995;0,0000%;1,39728;;R$;1,00;;2,60%;;;3,84%;;;;;;;;;;;;;;;
01/09/1995;0,0000%;1,39728;;R$;1,00;;1,94%;;;3,32%;;;;;;;;;;;;;;;
01/10/1995;0,0000%;1,39728;;R$;1,00;;1,65%;;;3,09%;;;;;;;;;;;;;;;
01/11/1995;0,0000%;1,39728;;R$;1,00;;1,44%;;;2,88%;;;;;;;;;;;;;;;
01/12/1995;0,0000%;1,39728;;R$;1,00;;1,34%;;;2,78%;;;;;;;;;;;;;;;
01/01/1996;0,0000%;1,39728;;R$;1,00;;1,25%;;;2,58%;;;;;;;;;;;;;;;
01/02/1996;0,0000%;1,39728;;R$;1,00;;0,96%;;;2,35%;;;;;;;;;;;;;;;
01/03/1996;0,0000%;1,39728;;R$;1,00;;0,81%;;;2,22%;;;;;;;;;;;;;;;
01/04/1996;0,0000%;1,39728;;R$;1,00;;0,65%;;;2,07%;;;;;;;;;;;;;;;
01/05/1996;0,0000%;1,39728;;R$;1,00;;0,58%;;;2,01%;;;;;;;;;;;;;;;
01/06/1996;0,0000%;1,39728;;R$;1,00;;0,6099%;;;1,98%;;;;;;;;;;;;;;;
01/07/1996;0,0000%;1,39728;;R$;1,00;;0,5851%;;;1,93%;;;;;;;;;;;;;;;
01/08/1996;0,0000%;1,39728;;R$;1,00;;0,6275%;;;1,97%;;;;;;;;;;;;;;;
01/09/1996;0,0000%;1,39728;;R$;1,00;;0,6620%;;;1,90%;;;;;;;;;;;;;;;
01/10/1996;0,0000%;1,39728;;R$;1,00;;0,7419%;;;1,86%;;;;;;;;;;;;;;;
01/11/1996;0,0000%;1,39728;;R$;1,00;;0,8146%;;;1,80%;;;;;;;;;;;;;;;
01/12/1996;0,0000%;1,39728;;R$;1,00;;0,8717%;;;1,80%;;;;;;;;;;;;;;;
01/01/1997;0,0000%;1,39728;;R$;1,00;;0,7440%;;;1,73%;;;;;;;;;;;;;;;
01/02/1997;0,0000%;1,39728;;R$;1,00;;0,6616%;;;1,67%;;;;;;;;;;;;;;;
01/03/1997;0,0000%;1,39728;;R$;1,00;;0,6316%;;;1,64%;;;;;;;;;;;;;;;
01/04/1997;0,0000%;1,39728;;R$;1,00;;0,6211%;;;1,66%;;;;;;;;;;;;;;;
01/05/1997;0,0000%;1,39728;;R$;1,00;;0,6354%;;;1,58%;;;;;;;;;;;;;;;
01/06/1997;0,0000%;1,39728;;R$;1,00;;0,6535%;;;1,61%;;;;;;;;;;;;;;;
01/07/1997;0,0000%;1,39728;;R$;1,00;;0,6580%;;;1,60%;;;;;;;;;;;;;;;
01/08/1997;0,0000%;1,39728;;R$;1,00;;0,6270%;;;1,59%;;;;;;;;;;;;;;;
01/09/1997;0,0000%;1,39728;;R$;1,00;;0,6474%;;;1,59%;;;;;;;;;;;;;;;
01/10/1997;0,0000%;1,39728;;R$;1,00;;0,6553%;;;1,67%;;;;;;;;;;;;;;;
01/11/1997;0,0000%;1,39728;;R$;1,00;;1,5334%;;;3,04%;;;;;;;;;;;;;;;
01/12/1997;0,0000%;1,39728;;R$;1,00;;1,3085%;;;2,97%;;;;;;;;;;;;;;;
01/01/1998;0,0000%;1,39728;;R$;1,00;;1,1459%;;;2,67%;;;;;;;;;;;;;;;
