Horarios: 48-49-66	Observação
2/3/2007	
7/3/2007	
9/3/2007	
14/3/2007	
16/3/2007	
21/3/2007	
23/3/2007	
28/3/2007	
30/3/2007	
4/4/2007	
6/4/2007	Feriado
11/4/2007	
13/4/2007	
18/4/2007	
20/4/2007	
25/4/2007	
27/4/2007	
2/5/2007	
4/5/2007	
9/5/2007	Afast. Justificado
11/5/2007	Afast. Justificado
16/5/2007	
18/5/2007	
23/5/2007	
25/5/2007	
30/5/2007	
1/6/2007	
6/6/2007	
8/6/2007	
13/6/2007	
15/6/2007	
20/6/2007	
22/6/2007	
27/6/2007	
29/6/2007	
4/7/2007	
6/7/2007	
11/7/2007	
Horários: 67	
2/3/2007	
9/3/2007	
16/3/2007	
23/3/2007	
30/3/2007	
6/4/2007	Feriado
13/4/2007	
20/4/2007	
27/4/2007	
4/5/2007	
11/5/2007	Afast. Justificado
18/5/2007	
25/5/2007	
1/6/2007	
8/6/2007	
15/6/2007	
22/6/2007	
29/6/2007	
6/7/2007	
Horários: 38-39-46	
30/8/2006	Sem. Acadêmica
5/9/2006	
6/9/2006	
12/9/2006	
13/9/2006	
19/9/2006	
20/9/2006	Feriado
26/9/2006	
27/9/2006	
3/10/2006	Afast. Justificado
4/10/2006	
10/10/2006	
11/10/2006	
17/10/2006	
18/10/2006	
24/10/2006	
25/10/2006	
31/10/2006	
1/11/2006	
7/11/2006	
8/11/2006	
14/11/2006	
15/11/2006	Feriado
21/11/2006	
22/11/2006	
28/11/2006	
29/11/2006	
5/12/2006	
6/12/2006	
12/12/2006	
13/12/2006	
19/12/2006	
20/12/2006	
Horários: 47-58-59	
30/8/2006	Sem. Acadêmica
31/8/2006	Sem. Acadêmica
6/9/2006	
7/9/2006	Feriado
13/9/2006	
14/9/2006	
20/9/2006	Feriado
21/9/2006	
27/9/2006	
28/9/2006	
4/10/2006	
5/10/2006	
11/10/2006	
12/10/2006	Feriado
18/10/2006	
19/10/2006	
25/10/2006	
26/10/2006	
1/11/2006	
2/11/2006	Feriado
8/11/2006	
9/11/2006	
15/11/2006	Feriado
16/11/2006	
22/11/2006	
23/11/2006	
29/11/2006	
30/11/2006	
6/12/2006	
7/12/2006	
13/12/2006	
14/12/2006	
20/12/2006	
21/12/2006	
Horários: 48-49-56	
30/8/2006	Sem. Acadêmica
31/8/2006	Sem. Acadêmica
6/9/2006	
7/9/2006	Feriado
13/9/2006	
14/9/2006	
20/9/2006	Feriado
21/9/2006	
27/9/2006	
28/9/2006	
4/10/2006	
5/10/2006	
11/10/2006	
12/10/2006	Feriado
18/10/2006	
19/10/2006	
25/10/2006	
26/10/2006	
1/11/2006	
2/11/2006	Feriado
8/11/2006	
9/11/2006	
15/11/2006	Feriado
16/11/2006	
22/11/2006	
23/11/2006	
29/11/2006	
30/11/2006	
6/12/2006	
7/12/2006	
13/12/2006	
14/12/2006	
20/12/2006	
21/12/2006	
Horários: 57	
31/8/2006	Sem. Acadêmica
7/9/2006	Feriado
14/9/2006	
21/9/2006	
28/9/2006	
5/10/2006	
12/10/2006	Feriado
19/10/2006	
26/10/2006	
2/11/2006	Feriado
9/11/2006	
16/11/2006	
23/11/2006	
30/11/2006	
7/12/2006	
14/12/2006	
21/12/2006	
Horários: 37	
4/3/2008	
11/3/2008	
18/3/2008	
25/3/2008	
1/4/2008	
8/4/2008	
15/4/2008	
22/4/2008	
29/4/2008	
6/5/2008	
13/5/2008	
20/5/2008	
27/5/2008	
3/6/2008	
10/6/2008	
17/6/2008	
24/6/2008	
1/7/2008	
8/7/2008	
Horários: 38-39-47	
4/3/2008	
5/3/2008	
11/3/2008	
12/3/2008	
18/3/2008	
19/3/2008	
25/3/2008	
26/3/2008	
1/4/2008	
2/4/2008	
8/4/2008	
9/4/2008	
15/4/2008	
16/4/2008	
22/4/2008	
23/4/2008	
29/4/2008	
30/4/2008	
6/5/2008	
7/5/2008	
13/5/2008	
14/5/2008	
20/5/2008	
21/5/2008	
27/5/2008	
28/5/2008	
3/6/2008	
4/6/2008	
10/6/2008	
11/6/2008	
17/6/2008	
18/6/2008	
24/6/2008	
25/6/2008	
1/7/2008	
2/7/2008	
8/7/2008	
9/7/2008	
Horários: 46	
5/3/2008	
12/3/2008	
19/3/2008	
26/3/2008	
2/4/2008	
9/4/2008	
16/4/2008	
23/4/2008	
30/4/2008	
7/5/2008	
14/5/2008	
21/5/2008	
28/5/2008	
4/6/2008	
11/6/2008	
18/6/2008	
25/6/2008	
2/7/2008	
9/7/2008	
Horários: 48-49-56	
5/3/2008	
6/3/2008	
12/3/2008	
13/3/2008	
19/3/2008	
20/3/2008	
26/3/2008	
27/3/2008	
2/4/2008	
3/4/2008	
9/4/2008	
10/4/2008	
16/4/2008	
