seg;08/10/2012;;16:16;21:47;22:42;1:51;;;
ter;09/10/2012;;16:11;21:50;22:42;1:30;;;
qua;10/10/2012;;16:10;21:47;22:42;1:30;;;
qui;11/10/2012;;16:10;21:48;22:42;1:36;;;
Feriado;12/10/2012;;;;;;;;
sáb;13/10/2012;;;;;;;;
dom;14/10/2012;;;;;;;;
seg;15/10/2012;;16:11;21:49;22:43;2:17;;;
ter;16/10/2012;;16:11;21:46;22:41;2:05;;;
qua;17/10/2012;;16:12;21:55;22:50;2:00;;;
qui;18/10/2012;;16:11;21:47;22:42;2:02;;;
sex;19/10/2012;;16:12;21:46;22:45;2:10;;;
sáb;20/10/2012;;;;;;;;
SOMA;;;;;;;;;
dom;21/10/2012;;;;;;;;
seg;22/10/2012;;16:10;21:51;22:45;01:55;;;
ter;23/10/2012;;16:10;21:48;22:44;01:30;;;
qua;24/10/2012;;17:36;21:47;22:42;01:41;;;
qui;25/10/2012;;16:12;21:47;22:42;02:06;;;
sex;26/10/2012;;16:12;21:43;22:37;01:30;;;
sáb;27/10/2012;;;;;;;;
dom;28/10/2012;;;;;;;;
seg;29/10/2012;;16:10;21:48;22:43;02:12;;;
ter;30/10/2012;;16:14;21:48;22:41;02:00;;;
qua;31/10/2012;;16:15;21:45;22:45;03:20;;;
qui;01/11/2012;;16:11;21:47;22:41;01:54;;;
sex;02/11/2012;;;;;;;;
sáb;03/11/2012;;;;;;;;
dom;04/11/2012;;;;;;;;
seg;05/11/2012;;16:10;21:47;22:42;02:30;;;
ter;06/11/2012;;16:11;21:46;22:41;02:23;;;
qua;07/11/2012;;16:11;21:47;22:42;02:06;;;
qui;08/11/2012;;16:11;21:46;22:41;02:12;;;
sex;09/11/2012;;16:10;21:47;22:41;01:45;;;
sáb;10/11/2012;;;;;;;;
dom;11/11/2012;;;;;;;;
seg;12/11/2012;;16:11;21:51;22:47;02:20;;;
ter;13/11/2012;;16:11;21:46;22:41;02:30;;;
qua;14/11/2012;;16:11;21:47;22:43;02:00;;;
qui;15/11/2012;;16:11;21:46;22:41;02:20;;;
sex;16/11/2012;;16:14;21:46;22:43;02:03;;;
sáb;17/11/2012;;;;;;;;
dom;18/11/2012;;;;;;;;
seg;19/11/2012;;16:11;21:46;22:43;02:30;;;
ter;20/11/2012;;16:11;21:47;22:42;01:42;;;
SOMA;;;;;;;;;
qua;21/11/2012;;16:11;21:46;22:41;01:40;;;
qui;22/11/2012;;16:13;21:46;22:43;02:20;;;
sex;23/11/2012;;16:11;21:46;22:44;02:50;;;
sáb;24/11/2012;;;;;;;;
dom;25/11/2012;;;;;;;;
seg;26/11/2012;;16:13;21:46;22:41;02:42;;;
ter;27/11/2012;;16:12;21:51;22:46;01:50;;;
qua;28/11/2012;;16:15;21:46;22:41;02:18;;;
qui;29/11/2012;;16:13;21:47;22:43;02:03;;;
sex;30/11/2012;;16:13;20:36;21:31;01:31;;;
sáb;01/12/2012;;;;;;;;
dom;02/12/2012;;;;;;;;
seg;03/12/2012;;16:12;21:44;22:40;02:41;;;
ter;04/12/2012;;16:12;21:45;22:40;01:38;;;
qua;05/12/2012;;16:13;21:40;22:39;02:01;;;
qui;06/12/2012;;16:12;21:50;22:43;02:20;;;
sex;07/12/2012;;16:13;21:46;22:42;01:31;;;
sáb;08/12/2012;;;;;;;;
dom;09/12/2012;;;;;;;;
seg;10/12/2012;;16:10;21:45;22:45;02:15;;;
ter;11/12/2012;;16:13;21:41;22:35;02:24;;;
qua;12/12/2012;;16:14;21:45;22:42;01:45;;;
qui;13/12/2012;;16:12;21:47;22:42;01:30;;;
sex;14/12/2012;;16:11;21:44;22:43;01:30;;;
sáb;15/12/2012;;;;;;;;
dom;16/12/2012;;;;;;;;
seg;17/12/2012;;16:11;21:43;22:42;01:41;;;
ter;18/12/2012;;18:51;21:47;22:45;02:20;;;
qua;19/12/2012;;16:16;21:48;22:43;02:35;;;
qui;20/12/2012;;;;;;;;
SOMA;;;;;;;;;
sex;21/12/2012;;16:18;21:39;22:35;02:02;;;
sáb;22/12/2012;;;;;;;;
dom;23/12/2012;;;;;;;;
seg;24/12/2012;;;;;;;;
ter;25/12/2012;;;;;;;;
qua;26/12/2012;;16:10;21:48;22:43;02:10;;;
qui;27/12/2012;;16:11;21:21;22:17;03:35;;;
